tag,utterance
QUESTION:REQUEST,Would you mind passing me a napkin
QUESTION:REQUEST,Would you mind passing me a tissue
QUESTION:REQUEST,Would you mind passing me the salt
QUESTION:REQUEST,Would you mind passing me the salt, please
QUESTION:REQUEST,Would you mind sharing your notes with me
QUESTION:REQUEST,Would you mind shutting the door
QUESTION:YESNO,Am I going to die
QUESTION:YESNO,Am I sick
QUESTION:YESNO,Are Spanish and German different languages
QUESTION:YESNO,Are airplanes flown inside
QUESTION:YESNO,Are all dogs friendly
QUESTION:YESNO,Are ants strong
QUESTION:YESNO,Are apples red fruit
QUESTION:YESNO,Are aspirin and tylenol pain relievers
QUESTION:YESNO,Are bananas and oranges sweet vegetables
QUESTION:YESNO,Are bananas yellow
QUESTION:YESNO,Are band-aids used for healing
QUESTION:YESNO,Are butterflies attracted to bright colors
QUESTION:YESNO,Are cars made here
QUESTION:YESNO,Are cars used to drive on the water
QUESTION:YESNO,Are cats able to climb trees
QUESTION:YESNO,Are chips and pretzels salty
QUESTION:YESNO,Are clocks and bikes used to tell time
QUESTION:YESNO,Are coffee and hot chocolate cold drinks
QUESTION:YESNO,Are computers used to brush your teeth with
QUESTION:YESNO,Are cows and horses mammals
QUESTION:YESNO,Are cucumbers a type of fruit
QUESTION:YESNO,Are diamonds a type of gemstone
QUESTION:YESNO,Are dogs and cats animals that live in the jungle
QUESTION:YESNO,Are dogs carnivorous animals
QUESTION:YESNO,Are dogs mammals
QUESTION:YESNO,Are dolphins friendly
QUESTION:YESNO,Are dolphins mammals
QUESTION:YESNO,Are eggs a good source of protein
QUESTION:YESNO,Are elephants able to climb trees
QUESTION:YESNO,Are fish able to fly
QUESTION:YESNO,Are flies and robins small insects
QUESTION:YESNO,Are football and baseball types of food
QUESTION:YESNO,Are fruits and vegetables healthy to eat
QUESTION:YESNO,Are giraffes tall
QUESTION:YESNO,Are grapes used to make wine
QUESTION:YESNO,Are houses more than $50 dollars
QUESTION:YESNO,Are kangaroos able to jump high
QUESTION:YESNO,Are kangaroos native to Australia
QUESTION:YESNO,Are kiwis a type of fruit
QUESTION:YESNO,Are lasagna and spaghetti Chinese dishes
QUESTION:YESNO,Are lemons sour
QUESTION:YESNO,Are lions afraid of water
QUESTION:YESNO,Are lizards small
QUESTION:YESNO,Are muscles needed to move our body
QUESTION:YESNO,Are musicians and artists creative
QUESTION:YESNO,Are oranges a good source of vitamin C
QUESTION:YESNO,Are ovens used to freeze things
QUESTION:YESNO,Are owls able to see in the dark
QUESTION:YESNO,Are paint and syrup used to take a bath in
QUESTION:YESNO,Are pandas friendly
QUESTION:YESNO,Are peanuts made into jam
QUESTION:YESNO,Are pencils and markers used to write on a whiteboard
QUESTION:YESNO,Are penguins able to fly
QUESTION:YESNO,Are pillows and mattresses used to sleep on
QUESTION:YESNO,Are plants capable of photosynthesis
QUESTION:YESNO,Are potatoes a type of vegetable
QUESTION:YESNO,Are pumpkins used for carving at Halloween
QUESTION:YESNO,Are rattlesnakes poisonous
QUESTION:YESNO,Are rhinoceroses herbivores or carnivores
QUESTION:YESNO,Are roses tall trees
QUESTION:YESNO,Are scoops of ice cream sweet
QUESTION:YESNO,Are seahorses fish
QUESTION:YESNO,Are sharks dangerous to humans
QUESTION:YESNO,Are sharks friendly to humans
QUESTION:YESNO,Are shoes worn over the top of socks
QUESTION:YESNO,Are shovels something you would use to dig a hole with
QUESTION:YESNO,Are snakes afraid of humans
QUESTION:YESNO,Are strawberries red
QUESTION:YESNO,Are the Arctic and the Antarctic the same
QUESTION:YESNO,Are the Great Barrier Reef and the Grand Canyon natural wonders
QUESTION:YESNO,Are the Pyramids of Giza in Egypt
QUESTION:YESNO,Are the children at school
QUESTION:YESNO,Are the letters "d" and "s" in the word "dressing"
QUESTION:YESNO,Are there 50 states in the United States of America
QUESTION:YESNO,Are there 7 continents on Earth
QUESTION:YESNO,Are there 80 minutes in an hour
QUESTION:YESNO,Are they American
QUESTION:YESNO,Are they sitting in a row
QUESTION:YESNO,Are they studying hard
QUESTION:YESNO,Are they visiting Paris
QUESTION:YESNO,Are tomatoes used to make ketchup
QUESTION:YESNO,Are tornadoes common in Kansas
QUESTION:YESNO,Are turtles amphibians
QUESTION:YESNO,Are turtles reptiles
QUESTION:YESNO,Are umbrellas used to keep you wet
QUESTION:YESNO,Are vegetables a good source of nutrition
QUESTION:YESNO,Are violins and pianos musical instruments
QUESTION:YESNO,Are we going to try it
QUESTION:YESNO,Are whales fish
QUESTION:YESNO,Are whales the largest animals on Earth
QUESTION:YESNO,Are wild animals dangerous
QUESTION:YESNO,Are wolves friendly
QUESTION:YESNO,Are you feeling well
QUESTION:YESNO,Are you going to try it
QUESTION:YESNO,Are you happy
QUESTION:YESNO,Are you hungry
QUESTION:YESNO,Are you looking for the keys
QUESTION:YESNO,Are you sick
QUESTION:YESNO,Are you tired
QUESTION:YESNO,Can John read
QUESTION:YESNO,Can a backpack get a cold
QUESTION:YESNO,Can a car run without fuel
QUESTION:YESNO,Can a chair fly
QUESTION:YESNO,Can a cheetah run faster than a car
QUESTION:YESNO,Can a circle have corners
QUESTION:YESNO,Can a computer think for itself
QUESTION:YESNO,Can a fish live out of water
QUESTION:YESNO,Can a giraffe swim
QUESTION:YESNO,Can a kangaroo jump higher than a house
QUESTION:YESNO,Can a person be allergic to water
QUESTION:YESNO,Can a person breathe in outer space
QUESTION:YESNO,Can a person fly without any assistance
QUESTION:YESNO,Can a person fly without wings
QUESTION:YESNO,Can a person learn a new language quickly
QUESTION:YESNO,Can a person learn to play a musical instrument without lessons
QUESTION:YESNO,Can a person lift a house
QUESTION:YESNO,Can a person live without water
QUESTION:YESNO,Can a person run faster than a car
QUESTION:YESNO,Can a person see through walls
QUESTION:YESNO,Can a person sneeze with their eyes open
QUESTION:YESNO,Can a person survive without food for a long period of time
QUESTION:YESNO,Can a person survive without food for a long time
QUESTION:YESNO,Can a person survive without sleep
QUESTION:YESNO,Can a person touch their nose with their tongue
QUESTION:YESNO,Can a person travel to the future
QUESTION:YESNO,Can a plant grow without water
QUESTION:YESNO,Can a snake hear
QUESTION:YESNO,Can a tiger be your pet
QUESTION:YESNO,Can an elephant fly
QUESTION:YESNO,Can bats see in the dark
QUESTION:YESNO,Can birds swim
QUESTION:YESNO,Can camels store water in their humps
QUESTION:YESNO,Can cheetahs run fast
QUESTION:YESNO,Can crocodiles climb trees
QUESTION:YESNO,Can eagles fly
QUESTION:YESNO,Can flamingos fly backwards
QUESTION:YESNO,Can horses run fast
QUESTION:YESNO,Can humans breathe underwater
QUESTION:YESNO,Can ostriches fly
QUESTION:YESNO,Can penguins fly
QUESTION:YESNO,Can penguins live in warm climates
QUESTION:YESNO,Can pigs walk on two feet
QUESTION:YESNO,Can sharks breathe out of water
QUESTION:YESNO,Can snakes fly
QUESTION:YESNO,Can spiders climb walls
QUESTION:YESNO,Can you brush your teeth with a shoe
QUESTION:YESNO,Can you buy eggs by the dozen
QUESTION:YESNO,Can you drive a car wearing a blindfold
QUESTION:YESNO,Can you drive a car without wearing a seatbelt
QUESTION:YESNO,Can you eat tomato soup with a fork
QUESTION:YESNO,Can you eat without a mouth
QUESTION:YESNO,Can you find the Great Wall of China in Asia
QUESTION:YESNO,Can you freeze orange juice
QUESTION:YESNO,Can you fry vegetables in a pan
QUESTION:YESNO,Can you grow a mustache on your foot
QUESTION:YESNO,Can you jump over a puddle
QUESTION:YESNO,Can you keep a horse inside your house
QUESTION:YESNO,Can you make bread without using flour
QUESTION:YESNO,Can you play an instrument
QUESTION:YESNO,Can you rake leaves with a hammer
QUESTION:YESNO,Can you ride a bike without a helmet
QUESTION:YESNO,Can you ride a camel
QUESTION:YESNO,Can you rip concrete
QUESTION:YESNO,Can you run a marathon
QUESTION:YESNO,Can you see in the dark without a flashlight
QUESTION:YESNO,Can you see the Northern Lights in Norway
QUESTION:YESNO,Can you sleep in the day time
QUESTION:YESNO,Can you speak Russian
QUESTION:YESNO,Can you stir something with a spoon
QUESTION:YESNO,Can you stretch a rock
QUESTION:YESNO,Can you swim
QUESTION:YESNO,Can you teach a cat to talk
QUESTION:YESNO,Can you touch your elbow with your nose
QUESTION:YESNO,Can you use a shovel at the beach
QUESTION:YESNO,Can you wear a tie
QUESTION:YESNO,Can you wear pajama's to school / work
QUESTION:YESNO,Could he have said that
QUESTION:YESNO,Did she have a smile on her face
QUESTION:YESNO,Did she have her camera
QUESTION:YESNO,Did the boss notice the mistake
QUESTION:YESNO,Did the printer break
QUESTION:YESNO,Did they dance well
QUESTION:YESNO,Did they find the answer
QUESTION:YESNO,Did they forget their tickets
QUESTION:YESNO,Did you feel sick
QUESTION:YESNO,Did you go to the park
QUESTION:YESNO,Did you see John yesterday
QUESTION:YESNO,Do all birds fly
QUESTION:YESNO,Do all birds lay eggs
QUESTION:YESNO,Do all flowers have a fragrance
QUESTION:YESNO,Do all mammals have fur
QUESTION:YESNO,Do all snakes have venom
QUESTION:YESNO,Do all trees lose their leaves in the fall
QUESTION:YESNO,Do animals need water to stay alive
QUESTION:YESNO,Do ants have wings
QUESTION:YESNO,Do astronauts wear suits in space
QUESTION:YESNO,Do astronauts work in grocery stores
QUESTION:YESNO,Do babies need their diapers changed
QUESTION:YESNO,Do baby birds get fed by their mother
QUESTION:YESNO,Do bears hibernate
QUESTION:YESNO,Do bees make honey
QUESTION:YESNO,Do bicycles have engines
QUESTION:YESNO,Do birds have teeth
QUESTION:YESNO,Do birds have wings
QUESTION:YESNO,Do butterflies run fast
QUESTION:YESNO,Do camels live in the desert
QUESTION:YESNO,Do cars have engines
QUESTION:YESNO,Do cats climb trees
QUESTION:YESNO,Do children play with toys
QUESTION:YESNO,Do computers help us find information
QUESTION:YESNO,Do cows drink milk
QUESTION:YESNO,Do cows give milk
QUESTION:YESNO,Do dogs bark
QUESTION:YESNO,Do dogs have four legs
QUESTION:YESNO,Do dogs have wings
QUESTION:YESNO,Do dolphins live in the ocean
QUESTION:YESNO,Do elephants have a good memory
QUESTION:YESNO,Do elephants have long trunks
QUESTION:YESNO,Do elephants live in the ocean
QUESTION:YESNO,Do erasers remove pencil marks
QUESTION:YESNO,Do fire extinguishers help fireman
QUESTION:YESNO,Do fish breathe underwater
QUESTION:YESNO,Do fish live on land
QUESTION:YESNO,Do flowers bloom in the winter
QUESTION:YESNO,Do football players use sticks
QUESTION:YESNO,Do horses wear socks
QUESTION:YESNO,Do kangaroos carry their babies in their pouches
QUESTION:YESNO,Do kangaroos carry their young in pouches
QUESTION:YESNO,Do kangaroos live in South America
QUESTION:YESNO,Do koalas live in trees
QUESTION:YESNO,Do lemons taste sour
QUESTION:YESNO,Do lions live in the jungle
QUESTION:YESNO,Do monkeys eat bananas
QUESTION:YESNO,Do monkeys have tails
QUESTION:YESNO,Do monkeys live in groups
QUESTION:YESNO,Do mosquitos bite humans
QUESTION:YESNO,Do new clothes get dirty
QUESTION:YESNO,Do octopuses have eight legs
QUESTION:YESNO,Do penguins live in the Arctic
QUESTION:YESNO,Do people have more than two arms
QUESTION:YESNO,Do pilots fly paper planes
QUESTION:YESNO,Do plants need sunlight to grow
QUESTION:YESNO,Do plants need sunlight to survive
QUESTION:YESNO,Do plants wear glasses
QUESTION:YESNO,Do polar bears hibernate
QUESTION:YESNO,Do rabbits have long ears
QUESTION:YESNO,Do snakes have legs
QUESTION:YESNO,Do spiders have eight eyes
QUESTION:YESNO,Do spiders have eight legs
QUESTION:YESNO,Do storms damage homes
QUESTION:YESNO,Do sunflowers face the sun
QUESTION:YESNO,Do teachers help you learn
QUESTION:YESNO,Do tigers have stripes
QUESTION:YESNO,Do turtles have shells
QUESTION:YESNO,Do turtles lay eggs
QUESTION:YESNO,Do we call a school if we have an emergency
QUESTION:YESNO,Do we eat beef
QUESTION:YESNO,Do we need our hands to play a musical instrument
QUESTION:YESNO,Do we want more money
QUESTION:YESNO,Do whales communicate with each other
QUESTION:YESNO,Do whales live in the ocean
QUESTION:YESNO,Do windows need to be cleaned
QUESTION:YESNO,Do you agree
QUESTION:YESNO,Do you believe me
QUESTION:YESNO,Do you chew soup
QUESTION:YESNO,Do you do yoga
QUESTION:YESNO,Do you eat beef
QUESTION:YESNO,Do you get wet when you go swimming
QUESTION:YESNO,Do you have a car
QUESTION:YESNO,Do you have a dog
QUESTION:YESNO,Do you have a problem
QUESTION:YESNO,Do you know how to code
QUESTION:YESNO,Do you like Paris
QUESTION:YESNO,Do you like coffee
QUESTION:YESNO,Do you need to go home
QUESTION:YESNO,Do you own a car
QUESTION:YESNO,Do you prefer sweet or savory foods
QUESTION:YESNO,Do you speak Spanish
QUESTION:YESNO,Do you throw things in the garbage that are broken
QUESTION:YESNO,Do you use roller skates on the grass
QUESTION:YESNO,Do you want a drink
QUESTION:YESNO,Do you want more money
QUESTION:YESNO,Does a circle have sides
QUESTION:YESNO,Does a koala eat eucalyptus leaves
QUESTION:YESNO,Does a lion roar
QUESTION:YESNO,Does a square have three sides
